Marca temporal,Color primario favorito,Edad en años (numérica),Estatura en metros (numérica),Peso en kg (numérica),Tipo de personalidad,Número de vasos de agua que tomas al día (numérico),¿Día o noche?,Actividad física,Mascota favorita,¿Chile del que pica o del que no pica?,Número de hermanos (numérica),¿Las quesadillas van con queso?,Número de tatuajes (numérica),¿Team frío o team calor?
3/16/2024 10:06:47,Azul,27,1.6,63,Introvertido,5,Noche,¿Qué es eso?,Gato,Del que pica,1,Con queso,0,Team frío
3/16/2024 10:06:50,Azul,38,1.76,85,Introvertido,4,Noche,¿Qué es eso?,Gato,Del que pica,4,Sin queso,0,Team frío
3/16/2024 10:06:51,Rojo,27,1.79,89,Introvertido,3,Noche,¿Qué es eso?,Perrro,Del que pica,1,Sin queso,0,Team frío
3/16/2024 10:06:52,Azul,33,1.75,83,Introvertido,5,Día,Si,Perrro,Del que pica,3,Sin queso,0,Team calor
3/16/2024 10:06:57,Azul,25,1.58,60,Introvertido,6,Noche,¿Qué es eso?,Perrro,Del que no pica,1,Sin queso,0,Team calor
3/16/2024 10:06:58,Azul,26,1.57,58,Introvertido,5,Noche,¿Qué es eso?,Perrro,Del que pica,0,Con queso,0,Team frío
3/16/2024 10:06:59,Amarillo,24,1.6,63,Extrovertido,8,Día,¿Qué es eso?,Perrro,Del que no pica,1,Con queso,0,Team frío
3/16/2024 10:07:07,Azul,23,1.67,72,Introvertido,5,Noche,¿Qué es eso?,Perrro,Del que no pica,1,Con queso,0,Team frío
3/16/2024 10:07:12,Rojo,24,1.7,76,Introvertido,4,Noche,Si,Gato,Del que no pica,1,Con queso,0,Team frío
3/16/2024 10:07:15,Azul,26,1.64,68,Extrovertido,6,Noche,Si,Perrro,Del que pica,0,Sin queso,1,Team frío
3/16/2024 10:07:18,Azul,28,1.8,90,Extrovertido,4,Día,¿Qué es eso?,Perrro,Del que pica,4,Con queso,0,Team frío
3/16/2024 10:07:20,Amarillo,25,1.56,57,Extrovertido,15,Noche,Si,Gato,Del que pica,2,Con queso,2,Team frío
3/16/2024 10:09:00,Azul,25,1.79,89,Introvertido,6,Noche,Si,Perrro,Del que pica,1,Con queso,1,Team frío
3/16/2024 10:07:26,Azul,27,1.65,69,Introvertido,4,Noche,Si,Perrro,Del que no pica,2,Con queso,1,Team frío
3/16/2024 10:07:51,Rojo,33,1.72,,Introvertido,2,Noche,Si,Perrro,Del que pica,2,Con queso,0,Team frío
3/16/2024 10:08:53,Rojo,29,1.85,97,Introvertido,5,Noche,Si,Perrro,Del que pica,1,Con queso,3,Team frío
3/16/2024 10:09:39,Azul,23,1.56,57,Introvertido,2,Noche,¿Qué es eso?,Gato,Del que no pica,1,Sin queso,0,Team frío
3/21/2024 16:01:47,Azul,21,1.76,85,Introvertido,4,Noche,Si,Perrro,Del que pica,1,Sin queso,0,Team frío
3/21/2024 16:02:08,Rojo,21,1.6,63,Extrovertido,2,Noche,Si,Perrro,Del que pica,2,Con queso,0,Team frío
3/21/2024 16:02:40,Rojo,19,1.84,96,Introvertido,3,Noche,¿Qué es eso?,Perrro,Del que no pica,1,Con queso,0,Team frío
3/21/2024 16:03:10,Amarillo,20,1.73,80,Introvertido,2 vasotes,Día,Si,Gato,Del que pica,2,Con queso,0,Team frío
3/21/2024 16:03:28,Rojo,21,1.63,67,Introvertido,6,Noche,Si,Otros,Del que pica,2,Con queso,0,Team frío
3/21/2024 16:06:02,Azul,20,1.75,82,Introvertido,9,Noche,Si,Perrro,Del que pica,1,Con queso,0,Team frío
3/21/2024 16:06:31,Azul,23,1.74,88,Introvertido,9,Noche,Si,Gato,Del que pica,1,Con queso,0,Team frío
3/21/2024 16:06:37,Azul,19,1.78,87,Introvertido,5,Noche,Si,Perrro,Del que pica,1,Sin queso,0,Team frío
3/21/2024 16:06:42,Azul,23,1.61,,Introvertido,7,Noche,Si,Gato,Del que pica,2,Con queso,0,Team frío
3/21/2024 16:06:44,Azul,23,1.8,,Extrovertido,10+,Noche,Si,Gato,Del que pica,2,Sin queso,0,Team frío
3/21/2024 16:07:05,Azul,26,1.63,67,Introvertido,8,Día,Si,Gato,Del que pica,3,Con queso,2,Team frío
3/21/2024 16:07:29,Amarillo,20,1.6,63,Introvertido,10,Noche,¿Qué es eso?,Perrro,Del que pica,0,Sin queso,0,Team frío
3/21/2024 16:08:39,Azul,22,1.54,54,Introvertido,4,Noche,¿Qué es eso?,Perrro,Del que no pica,1,Con queso,0,Team frío
3/21/2024 16:08:40,Rojo,27,1.74,82,Introvertido,8,Día,Si,Perrro,Del que pica,2,Sin queso,8,Team calor
3/21/2024 16:09:28,Azul,19,1.8,,Introvertido,6,Noche,Si,Perrro,Del que pica,2,Con queso,0,Team frío
3/21/2024 16:09:33,Azul,24,1.88,90,Introvertido,12,Día,Si,Perrro,Del que pica,2,Sin queso,0,Team frío
3/21/2024 16:09:51,Amarillo,20,1.74,,Extrovertido,6,Noche,Si,Perrro,Del que pica,1,Sin queso,0,Team calor
3/21/2024 16:10:27,Azul,23,1.75,83,Introvertido,4,Noche,¿Qué es eso?,Gato,Del que no pica,2,Con queso,0,Team frío
3/21/2024 16:11:48,Azul,24,1.72,,Extrovertido,3,Día,Si,Perrro,Del que pica,1,Con queso,0,Team frío
3/21/2024 16:12:03,Azul,25,1.89,103,Extrovertido,8,Noche,¿Qué es eso?,Perrro,Del que pica,2,Con queso,4,Team frío
3/21/2024 16:12:26,Rojo,20,1.88,101,Introvertido,8,Noche,Si,Otros,Del que pica,2,Sin queso,0,Team frío
3/21/2024 16:14:28,Rojo,22,1.6,63,Introvertido,7,Noche,Si,Gato,Del que pica,2,Con queso,0,Team frío
3/21/2024 16:16:20,Azul,28,1.85,97,Extrovertido,8,Noche,Si,Perrro,Del que pica,1,Con queso,1,Team frío
3/21/2024 16:17:00,Rojo,24,1.7,76,Introvertido,7,Noche,Si,Perrro,Del que pica,1,Con queso,0,Team frío
3/21/2024 16:21:46,Rojo,21,1.75,83,Extrovertido,4,Noche,Si,Perrro,Del que pica,1,Sin queso,0,Team frío
3/21/2024 16:21:49,Azul,21,1.87,100,Introvertido,10,Noche,Si,Perrro,Del que no pica,1,Con queso,2,Team frío
3/21/2024 16:28:06,Amarillo,19,1.56,57,Extrovertido,5,Día,¿Qué es eso?,Gato,Del que no pica,2,Con queso,0,Team calor
3/21/2024 16:29:36,Azul,25,1.72,79,Introvertido,4,Noche,Si,Gato,Del que no pica,2,Con queso,0,Team frío
3/21/2024 16:35:04,Azul,22,1.73,,Extrovertido,5,Día,¿Qué es eso?,Otros,Del que pica,2,Sin queso,2,Team frío
3/21/2024 16:41:10,Azul,19,1.7,76,Introvertido,10,Noche,Si,Perrro,Del que pica,2,Con queso,1,Team frío
3/21/2024 16:48:09,Rojo,21,1.6,63,Introvertido,5,Noche,Si,Gato,Del que no pica,3,Con queso,0,Team frío
3/21/2024 16:53:37,Rojo,19,1.75,83,Introvertido,8,Noche,¿Qué es eso?,Perrro,Del que pica,0,Con queso,0,Team frío
3/21/2024 16:57:13,Rojo,Veinticinco ,1.77,86,Introvertido,diez,Día,¿Qué es eso?,Perrro,Del que no pica,Una,Con queso,Cero,Team frío
3/21/2024 16:58:14,Azul,21,1.56,57,Extrovertido,7,Noche,Si,Gato,Del que pica,2,Con queso,0,Team frío
3/21/2024 17:16:23,Azul,21,1.63,67,Introvertido,20,Noche,Si,Perrro,Del que no pica,4,Con queso,2,Team frío
3/21/2024 17:18:03,Rojo,21,1.73,80,Introvertido,6,Noche,¿Qué es eso?,Otros,Del que no pica,0,Con queso,0,Team frío
3/21/2024 17:20:19,Azul,22,1.76,85,Extrovertido,4,Día,Si,Gato,Del que pica,2,Con queso,3,Team frío
3/21/2024 17:34:03,Azul,21,1.63,67,Extrovertido,4,Noche,Si,Perrro,Del que pica,5,Con queso,0,Team frío
3/21/2024 17:45:21,Azul,20,1.7,76,Introvertido,4,Noche,¿Qué es eso?,Perrro,Del que no pica,3,Con queso,0,Team frío
3/21/2024 18:02:08,Rojo,22,1.79,89,Introvertido,5,Noche,¿Qué es eso?,Perrro,Del que pica,0,Con queso,0,Team frío
3/21/2024 18:29:02,Azul,22,1.65,69,Extrovertido,10,Noche,Si,Perrro,Del que pica,0,Con queso,5,Team frío
3/21/2024 18:31:12,Azul,20,1.68,74,Extrovertido,5,Noche,¿Qué es eso?,Gato,Del que no pica,2,Con queso,0,Team frío
3/21/2024 18:32:10,Rojo,19,1.68,74,Introvertido,8,Noche,¿Qué es eso?,Perrro,Del que pica,3,Sin queso,0,Team calor
3/21/2024 18:33:46,Azul,21,1.75,83,Introvertido,6,Noche,Si,Perrro,Del que pica,3,Con queso,0,Team frío
6/6/2024 19:30:19,Verde,25,1.68,74,Extrovertido,6,Dia,¿Qué es eso?,Dalmata,Del que no pica,1,Con queso,0,Team calor
6/6/2024 19:30:25,Naranja,22,1.63,67,Extrovertido,4,Noche,Si,Perro,Del que no pica,2,Con queso,0,Team calor
6/6/2024 19:30:42,Rojo,24,1.65,69,Extrovertido,4,Dia,Si,Gato,Del que pica,2,Con queso,2,Team frío
6/6/2024 19:30:43,Azul,23,1.6,63,Introvertido,4,Noche,Si,Perro,Del que pica,2,Con queso,0,Team calor
6/6/2024 19:30:59,oro rosa,27,1.73,80,Extrovertido,12,Dia,Si,Perro,Del que pica,1,Sin queso,1,Team calor
6/6/2024 19:31:01,Verde,27,1.68,74,Extrovertido,4,Noche,Si,Perro,Del que no pica,1,Con queso,1,Team calor
6/6/2024 19:31:05,Azul,24,1.6,63,Introvertido,5,Noche,Si,Gato,Del que pica,0,Sin queso,0,Team frío
6/6/2024 19:31:28,Azul,26,1.78,87,Introvertido,5,Noche,Si,Gato,Del que no pica,1,Sin queso,0,Team frío
6/6/2024 19:32:00,Azul,29,1.7,,Extrovertido,6,Noche,Si,Perro,Del que pica,3,Sin queso,0,Team frío
6/6/2024 19:32:39,Azul,24,1.76,85,Extrovertido,5,Noche,Si,perro,Del que pica,1,Con queso,0,Team frío
6/6/2024 19:32:48,Azul,24,1.55,56,Extrovertido,8,Dia,Si,Perros,Del que pica,2,Con queso,0,Team frío
6/6/2024 19:32:56,Verde,24,1.74,82,Extrovertido,8,Dia,Si,Perro,Del que pica,2,Con queso,0,Team frío
6/6/2024 19:33:02,Morado,25,1.71,78,Extrovertido,9,Dia,Si,Gato,Del que pica,1,Con queso,0,Team frío
6/6/2024 19:33:36,Azul,36,1.76,85,Introvertido,6,Dia,Si,Perro,Del que pica,2,Con queso,0,Team calor
6/6/2024 19:33:40,rosa,28,1.63,,Introvertido,8,Noche,Si,perro,Del que pica,2,Sin queso,0,Team frío
6/6/2024 19:33:43,Azul,28,1.69,75,Introvertido,8,Dia,Si,Perro,Del que no pica,2,Con queso,0,Team calor
6/6/2024 19:34:01,Azul,27,1.68,74,Introvertido,6,Noche,¿Qué es eso?,Perro,Del que pica,1,Con queso,0,Team frío
6/6/2024 19:34:07,azul,25,1.83,94,Extrovertido,5,Dia,Si,gato,Del que pica,1,Sin queso,0,Team frío
6/6/2024 19:34:32,Azul,26,1.7,76,Extrovertido,3,Dia,Si,Perro,Del que pica,3,Sin queso,0,Team calor
6/6/2024 19:34:33,Amarillo,27,1.63,67,Introvertido,7,Dia,Si,Perro,Del que pica,1,Sin queso,0,Team frío
6/6/2024 19:34:59,azul,24,1.61,,Introvertido,7,Noche,Si,perro,Del que pica,1,Con queso,0,Team frío
6/6/2024 19:35:04,azul,37,1.78,87,Introvertido,6,Noche,Si,perro,Del que pica,1,Con queso,0,Team frío
6/6/2024 19:35:13,amarillo,26,1.56,,Extrovertido,16,Noche,Si,Gato,Del que no pica,1,Sin queso,0,Team frío
6/6/2024 19:35:14,Azul,24,1.7,76,Extrovertido,8,Noche,Si,Perro,Del que pica,2,Con queso,0,Team frío
6/6/2024 19:36:02,Rojo,23,1.84,96,Extrovertido,9,Noche,Si,Monos,Del que pica,2,Con queso,1,Team frío
6/6/2024 19:36:07,Rojo,22,1.56,57,Extrovertido,8,Noche,Si,Perro,Del que no pica,2,Con queso,6,Team frío
6/6/2024 19:36:21,Rojo,31,1.8,90,Introvertido,6,Dia,No,Perro,Del que pica,2,Con queso,0,Team frío
6/6/2024 19:36:45,Azul,24,1.6,63,Introvertido,8,Noche,Si,Perro,Del que no pica,2,Con queso,0,Team frío
6/6/2024 19:37:14,mostaza,32,1.69,75,Extrovertido,5,Dia,Si,perro,Del que pica,1,Con queso,0,Team frío
6/6/2024 19:37:48,azul,41,1.88,101,Extrovertido,6,Noche,Si,perro,Del que pica,1,Con queso,0,Team frío
6/6/2024 19:38:26,negro,43,1.75,83,Introvertido,6,Dia,Si,perro,Del que pica,2,Con queso,0,Team calor
6/6/2024 19:39:11,azul,31,1.68,74,Introvertido,6,Dia,Si,perro,Del que pica,2,Con queso,0,Team calor
6/6/2024 19:39:19,negro,24,1.83,94,Extrovertido,10,Noche,Si,perro,Del que pica,2,Con queso,0,Team calor
6/6/2024 19:41:50,azul,31,1.64,68,Extrovertido,8,Dia,Si,perro,Del que pica,2,Con queso,0,Team frío
6/6/2024 20:01:55,Verde,36,1.7,76,Introvertido,9,Noche,No,Dragón,Del que pica,2,Con queso,0,Team frío
9/26/2024 18:49:51,Amarillo,35,1.7,75,Introvertido,8,Dia,Si,Perro,Del que pica,5,Con queso,0,Team frío
9/26/2024 18:50:53,AZUL,28,1.83,100,Extrovertido,7,Noche,Si,-,Del que no pica,3,Con queso,0,Team frío
9/26/2024 18:52:21,Azul marino,32,1.71,74,Introvertido,4,Noche,Si,Peroo,Del que pica,3,Sin queso,0,Team frío
9/26/2024 18:52:24,Azul cielo,23,1.7,73,Extrovertido,16,Noche,Si,Perro,Del que pica,2,Con queso,0,Team frío
9/26/2024 18:52:28,Verde,24,1.7,80,Extrovertido,5,Noche,Si,Gato,Del que pica,1,Con queso,0,Team frío
9/26/2024 18:52:33,Azul,23,1.75,70,Introvertido,5,Noche,Si,Perros,Del que no pica,2,Con queso,0,Team frío
9/26/2024 18:52:37,Azul,31,1.75,62,Introvertido,10,Dia,No,Cats,Del que pica,1,Sin queso,1,Team frío
9/26/2024 18:52:38,azul,23,1.58,52,Extrovertido,10,Noche,Si,perritos,Del que no pica,1,Con queso,0,Team frío
9/26/2024 18:52:40,Azul,22,1.54,44,Introvertido,4,Noche,Si,Perros,Del que no pica,1,Con queso,0,Team frío
9/26/2024 18:52:44,Azul,24,1.84,85,Extrovertido,5,Noche,Si,Perros,Del que pica,2,Con queso,0,Team frío
9/26/2024 18:52:46,Gris,23,1.75,70,Introvertido,10,Noche,Si,Gato,Del que pica,1,Con queso,0,Team frío
9/26/2024 18:52:49,azul,26,1.69,72,Introvertido,3,Dia,Si,perro,Del que pica,3,Con queso,0,Team frío
9/26/2024 18:52:55,Verde,24,1.74,64,Introvertido,9,Dia,Si,Perro,Del que pica,1,Con queso,0,Team frío
9/26/2024 18:52:57,Azul,23,1.79,58,Introvertido,8,Dia,Si,Perro,Del que pica,1,Con queso,2,Team calor
9/26/2024 18:53:01,Rojo,27,1.77,70,Introvertido,6,Dia,Si,Perro,Del que no pica,1,Con queso,0,Team frío
9/26/2024 18:53:03,Azul,27,1.72,88,Introvertido,6,Dia,Si,Perro,Del que pica,2,Con queso,0,Team frío
9/26/2024 18:53:04,Amarillo,27,1.56,45,Introvertido,5,Noche,Si,Perros y gatos,Del que pica,3,Con queso,0,Team calor
9/26/2024 18:53:06,negro,35,1.78,88,Introvertido,8,Dia,Si,perro,Del que pica,2,Con queso,0,Team calor
9/26/2024 18:53:10,Azul,26,1.7,80,Extrovertido,8,Dia,Si,NA,Del que no pica,2,Sin queso,1,Team frío
9/26/2024 18:53:12,AZUL,27,1.76,90,Introvertido,6,Dia,Si,PERRO,Del que no pica,2,Con queso,0,Team calor
9/26/2024 18:53:21,Rojo,23,1.6,50,Introvertido,3,Dia,Si,Perros,Del que pica,2,Con queso,0,Team frío
9/26/2024 18:53:25,Azul,23,1.66,55,Introvertido,5,Noche,Si,gatos,Del que pica,1,Con queso,6,Team frío
9/26/2024 18:53:54,Rojo,28,1.57,58,Introvertido,7,Noche,Si,Perro,Del que pica,3,Sin queso,0,Team calor
9/26/2024 18:53:54,Azul,24,1.6,70,Introvertido,8,Noche,Si,Perro,Del que no pica,2,Con queso,0,Team frío
9/26/2024 18:54:18,azul,24,1.69,55,Introvertido,5,Dia,Si,Perro,Del que no pica,1,Con queso,0,Team calor
9/26/2024 18:54:55,azul,25,1.6,70,Introvertido,3,Noche,No,michi,Del que pica,2,Con queso,0,Team frío
9/26/2024 18:54:56,Azul,22,1.8,81,Extrovertido,7,Noche,Si,Gato,Del que pica,3,Con queso,0,Team frío
9/26/2024 18:55:14,Rojo,33,1.7,67,Extrovertido,3,Noche,Si,Gato,Del que pica,1,Con queso,11,Team frío
9/26/2024 18:56:07,Azul,26,1.65,65,Introvertido,2,Noche,Si,Perro,Del que no pica,1,Con queso,0,Team calor
9/26/2024 18:57:02,Rojo,24,1.58,54,Introvertido,8,Noche,Si,Gato,Del que pica,2,Con queso,0,Team frío
9/26/2024 19:36:55,AMARILLO,27,1.55,52,Extrovertido,5,Dia,Si,perros,Del que pica,4,Sin queso,0,Team frío
9/26/2024 19:37:31,azul,22,1.84,68,Introvertido,6,Noche,Si,perro,Del que no pica,1,Con queso,0,Team frío
26/6/2025 18:09:08,Azul,23,1.63,60,Introvertido,8,Dia,Si,Perros,Del que pica,2,Sin queso,4,Team frío
26/6/2025 18:09:21,rojo,24,1.58,55,Extrovertido,8,Noche,¿Qué es eso?,gatos,Del que pica,2,Con queso,2,Team calor
26/6/2025 18:09:49,Rojo,27,1.65,70,Introvertido,5,Noche,No,Gato,Del que pica,4,Con queso,2,Team frío
26/6/2025 18:10:08,Azul,26,1.67 m,67 kg,Introvertido,4,Dia,Si,Perro,Del que no pica,0,Con queso,0,Team calor
26/6/2025 18:10:26,Verde,30,183,78,Introvertido,6,Dia,Si,Gatos,Del que no pica,1,Con queso,5,Team frío
26/6/2025 18:10:40,Verde,24,188,92,Introvertido,7,Noche,Si,Perro,Del que pica,3,Con queso,0,Team frío
26/6/2025 18:10:41,Rojo,29,1.7,84,Introvertido,8,Noche,Si,Perro,Del que pica,0,Sin queso,2,Team frío
26/6/2025 18:10:41,Azul,28,1.65,75,Introvertido,3,Dia,Si,Perro,Del que pica,2,Con queso,0,Team frío
26/6/2025 18:10:58,azul,22,1.68,61,Extrovertido,5,Dia,Si,Perro,Del que pica,2,Sin queso,4,Team frío
26/6/2025 18:11:07,Azul,28,160,80,Introvertido,8,Noche,Si,Gato,Del que pica,3,Sin queso,6,Team frío
26/6/2025 18:11:32,Azul,32,165,56,Introvertido,4,Dia,Si,Perro,Del que pica,4,Con queso,0,Team frío
26/6/2025 18:11:59,Verde,24,1.7m,68 kg,Introvertido,5,Noche,Si,Canino,Del que no pica,1,Con queso,0,Team frío
26/6/2025 18:13:14,Azul,23,1.77,96,Extrovertido,4,Noche,Si,Perro,Del que pica,1,Con queso,0,Team frío
26/6/2025 18:13:50,Rojo,23,1.77,75.6,Extrovertido,5,Noche,Si,perros,Del que pica,1,Con queso,14,Team calor
26/6/2025 18:14:24,rojo,27,1.66,72,Extrovertido,8,Noche,Si,Ninguna,Del que no pica,1,Con queso,0,Team frío
26/6/2025 18:18:27,Rosa,24,1.62,89,Extrovertido,6,Noche,Si,Mariposa,Del que no pica,5,Con queso,0,Team frío
26/6/2025 18:20:22,azul,28,1.93,94.5,Introvertido,4,Noche,Si,Perro,Del que pica,2,Con queso,0,Team frío
26/6/2025 18:20:41,Morado,27,1.71,82,Extrovertido,8,Noche,Si,Perro,Del que pica,0,Sin queso,0,Team frío
26/6/2025 18:21:18,Azul,24,1.7,72,Introvertido,3,Dia,Si,Perro,Del que pica,2,Con queso,0,Team frío
26/6/2025 18:21:19,rojo,24,1.58,69,Introvertido,20,Noche,Si,peroo,Del que pica,2,Sin queso,0,Team frío
26/6/2025 18:22:59,Azul,27,1.5,47,Extrovertido,45752,Dia,Si,Perro y gato,Del que no pica,2,Sin queso,3,Team frío
26/6/2025 18:29:46,Negro,25,1.7,55,Extrovertido,5,Noche,Si,Perro,Del que no pica,3,Sin queso,2,Team frío
26/6/2025 18:35:31,Rojo y Azul,45,1.53,62,Extrovertido,6,Noche,Si,Gato y  Perro,Del que pica,4,Con queso,0,Team frío
26/6/2025 18:40:11,Morado,24,1.67,80,Introvertido,8,Noche,Si,Gato,Del que pica,3,Con queso,0,Team calor
26/6/2025 18:53:16,Azul,24,1.77,74,Introvertido,4,Noche,Si,Perros,Del que pica,1,Con queso,0,Team frío
28/6/2025 8:11:37,Rojo,33,1.7,85,Extrovertido,6,Noche,Si,Perro,Del que pica,0,Con queso,0,Team frío
28/6/2025 8:12:58,Azul,24,1.75,65,Extrovertido,6,Dia,Si,Gato,Del que pica,2,Con queso,No,Team frío
1/8/2026 18:07:21,Verde,30,1.76,85,Extrovertido,10,Dia,Si,Gato,Del que pica,1,Con queso,1,Team frío
1/8/2026 18:07:30,azul,31,1.85,94,Extrovertido,10,Dia,Si,Perro,Del que pica,1,Con queso,2,Team frío
1/8/2026 18:08:00,negro,33,x,x,Introvertido,3,Noche,Si,s,Del que no pica,x,Con queso,x,Team frío
1/8/2026 18:08:19,Rojo,34,1.73,100,Introvertido,5,Noche,No,Gato,Del que no pica,0,Con queso,0,Team frío
1/8/2026 18:08:38,azul,25,1.75,70,Extrovertido,3,Dia,Si,Peces,Del que no pica,2,Sin queso,0,Team frío
1/8/2026 18:08:41,verde,34,1.55,na,Introvertido,5,Noche,Si,na,Del que no pica,1,Sin queso,0,Team frío
1/8/2026 18:08:45,Verde,27,183,102,Extrovertido,8,Noche,Si,Perro,Del que no pica,0,Con queso,0,Team frío
1/8/2026 18:08:49,Azul,44,1.8,80,Extrovertido,5,Noche,Si,Perro,Del que no pica,1,Sin queso,0,Team calor
1/8/2026 18:09:06,Granate,32,1.5,53,Introvertido,8,Noche,Si,Perros,Del que no pica,3,Sin queso,0,Team frío
1/8/2026 18:09:07,Azul,31,1.62,57,Introvertido,12,Dia,Si,Perro,Del que no pica,3,Con queso,8,Team frío
1/8/2026 18:09:07,Azul,29,1.74,82,Introvertido,8,Noche,No,Perro,Del que pica,1,Con queso,0,Team frío
1/8/2026 18:09:12,Azul,25,1.7,56,Extrovertido,8,Noche,Si,Perro,Del que pica,2,Con queso,0,Team frío
1/8/2026 18:09:58,azul,28,1.68,65,Introvertido,4,Dia,Si,perro,Del que pica,1,Con queso,0,Team frío
1/8/2026 18:10:02,Azul,25,1.52,47,Extrovertido,6,Dia,Si,gatos,Del que no pica,2,Con queso,0,Team frío
1/8/2026 18:10:07,Verde,30,1.78,64,Introvertido,8,Dia,No,Perro,Del que pica,2,Sin queso,0,Team calor
1/8/2026 18:10:21,Amarillo,26,1.74,80 kg,Extrovertido,8,Noche,Si,Perro,Del que pica,2,Con queso,0,Team frío
1/8/2026 18:10:46,Azul,27,1.64,69,Introvertido,8,Noche,Si,Perros,Del que pica,8,Con queso,0,Team frío
1/8/2026 18:10:55,Rojo,32,1.9,92,Introvertido,4,Noche,Si,Gato,Del que pica,1,Con queso,0,Team calor
1/8/2026 18:11:09,azul,22,1.64,63,Introvertido,2,Noche,No,Gato,Del que pica,2,Sin queso,0,Team frío
1/8/2026 18:11:15,azul,25,166,62,Introvertido,12,Dia,Si,piedra,Del que pica,2,Con queso,0,Team frío
1/8/2026 18:11:20,Rojo,31,1.8,103,Extrovertido,10,Dia,Si,Perro,Del que pica,2,Con queso,2,Team frío
1/8/2026 18:11:52,Amarillo,25,1.7,68,Extrovertido,5,Dia,Si,Perro,Del que no pica,0,Con queso,0,Team frío
1/8/2026 18:12:24,Verde,22,1.71,77,Extrovertido,4,Noche,Si,Perro,Del que pica,2,Sin queso,0,Team frío
1/8/2026 18:12:41,Rojo,27,1.7,75,Introvertido,8,Dia,Si,Gato,Del que pica,5,Con queso,0,Team calor
1/8/2026 18:12:54,Negro,25,1.8,78,Extrovertido,4,Noche,Si,Perro,Del que pica,2,Con queso,0,Team frío
1/8/2026 18:17:47,Lila,24,1.6,52,Extrovertido,6,Dia,Si,Perro,Del que no pica,1,Con queso,0,Team frío
1/8/2026 18:18:27,azul,22,1.55,71,Introvertido,6,Noche,Si,perros,Del que pica,1,Sin queso,5,Team frío
1/8/2026 18:25:02,Purpura,32,1.6,60,Introvertido,4,Noche,Si,Gato,Del que pica,2,Sin queso,5,Team frío
1/8/2026 18:33:22,Azul,25,1.7,69,Introvertido,4,Dia,No,Gatos,Del que pica,2,Con queso,0,Team frío
